epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7303,1.42879,3.80304,1.15142,0.01322,0.65509,0.24398,0.18192,1.04377,3.62821,0.9928,0.000248794,0.000248794,0.000248794
2,30.3401,1.48198,2.51199,1.14468,0.94085,0.13315,0.3993,0.2622,1.21292,3.09264,1.09376,0.000502627,0.000502627,0.000502627
3,44.5562,1.4821,1.74449,1.17033,0.81911,0.3897,0.59753,0.39327,1.1971,2.22617,1.15148,0.000753922,0.000753922,0.000753922
4,58.6047,1.40657,1.61943,1.14834,0.58697,0.60478,0.62131,0.42817,1.1319,1.6865,1.1264,0.00075758,0.00075758,0.00075758
5,73.707,1.41752,1.48547,1.15134,0.50868,0.59771,0.61329,0.41542,1.15355,1.8064,1.15197,0.000753774,0.000753774,0.000753774
6,87.1205,1.38555,1.37891,1.14834,0.77825,0.59837,0.68579,0.47083,1.15644,1.29271,1.14781,0.000749967,0.000749967,0.000749967
7,100.547,1.41751,1.40388,1.17457,0.76901,0.55777,0.65785,0.44127,1.1344,1.25365,1.11631,0.000746161,0.000746161,0.000746161
8,114.229,1.39161,1.32509,1.16554,0.80987,0.64519,0.72536,0.51115,1.09211,1.07123,1.12532,0.000742354,0.000742354,0.000742354
9,127.437,1.33618,1.27385,1.12615,0.70828,0.7143,0.7195,0.50212,1.1075,1.16747,1.10384,0.000738548,0.000738548,0.000738548
10,140.792,1.37219,1.24534,1.1365,0.77392,0.75384,0.77424,0.55887,1.06302,0.92059,1.08904,0.000734741,0.000734741,0.000734741
11,154.237,1.31773,1.23617,1.13615,0.70147,0.73191,0.73513,0.49771,1.10904,0.95242,1.12437,0.000730935,0.000730935,0.000730935
12,167.716,1.35498,1.22468,1.14113,0.67115,0.67393,0.70574,0.50547,1.07275,1.01582,1.13948,0.000727128,0.000727128,0.000727128
13,181.055,1.34249,1.16393,1.14634,0.69372,0.65832,0.71937,0.49856,1.1052,0.95685,1.10676,0.000723321,0.000723321,0.000723321
14,194.443,1.33039,1.13373,1.11613,0.83291,0.69,0.75065,0.53724,1.07515,0.8887,1.07464,0.000719515,0.000719515,0.000719515
15,207.949,1.30184,1.10799,1.12345,0.77576,0.72877,0.77094,0.54353,1.04535,0.9028,1.07266,0.000715708,0.000715708,0.000715708
16,221.155,1.32967,1.11225,1.13009,0.75297,0.76649,0.78559,0.55976,1.06978,0.86241,1.08707,0.000711902,0.000711902,0.000711902
17,234.442,1.3267,1.09598,1.12162,0.75874,0.67309,0.71111,0.50642,1.03849,0.91746,1.0698,0.000708095,0.000708095,0.000708095
18,247.846,1.3146,1.06911,1.11427,0.81127,0.71763,0.78121,0.55894,1.01355,0.82923,1.06653,0.000704289,0.000704289,0.000704289
19,261.298,1.31926,1.03969,1.12398,0.85228,0.72225,0.76625,0.53785,1.05945,0.85712,1.06453,0.000700482,0.000700482,0.000700482
20,274.73,1.30513,1.0336,1.12129,0.80374,0.70376,0.76878,0.55831,1.05349,0.90878,1.08437,0.000696676,0.000696676,0.000696676
