epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6124,1.48647,3.39928,1.18106,0.01016,0.73677,0.36981,0.25208,1.05677,3.45234,1.02634,0.000248794,0.000248794,0.000248794
2,27.8439,1.4384,1.96123,1.1638,0.75164,0.33128,0.55102,0.36036,1.17209,2.62291,1.08215,0.000500127,0.000500127,0.000500127
3,39.8166,1.43912,1.60399,1.16042,0.54653,0.54122,0.5794,0.37801,1.15782,2.07692,1.11649,0.000746384,0.000746384,0.000746384
4,51.9013,1.40482,1.4717,1.15292,0.78273,0.55758,0.65148,0.43294,1.17633,1.39848,1.13875,0.000746161,0.000746161,0.000746161
5,64.2215,1.36101,1.39936,1.16198,0.66006,0.56052,0.67504,0.45463,1.20436,1.274,1.15065,0.000738548,0.000738548,0.000738548
6,76.2009,1.39765,1.35026,1.15432,0.63847,0.6827,0.70484,0.47365,1.10816,1.2614,1.14436,0.000730935,0.000730935,0.000730935
7,88.5186,1.33564,1.25329,1.12782,0.60643,0.73196,0.71994,0.48104,1.10999,1.34171,1.1311,0.000723321,0.000723321,0.000723321
8,100.997,1.33551,1.21642,1.13706,0.71528,0.72437,0.75306,0.51831,1.06968,1.04046,1.08307,0.000715708,0.000715708,0.000715708
9,113.511,1.35561,1.19337,1.12676,0.7677,0.71811,0.75866,0.50808,1.14549,1.06428,1.11314,0.000708095,0.000708095,0.000708095
10,125.95,1.30575,1.17859,1.12933,0.82049,0.71513,0.77387,0.54327,1.08767,0.95158,1.11984,0.000700482,0.000700482,0.000700482
11,138.373,1.32569,1.17167,1.1368,0.73492,0.74605,0.76808,0.50576,1.10791,0.93038,1.09572,0.000692869,0.000692869,0.000692869
12,150.972,1.28919,1.10371,1.1195,0.7908,0.73342,0.76807,0.55015,1.06742,0.88109,1.08028,0.000685256,0.000685256,0.000685256
13,163.361,1.31428,1.05685,1.12547,0.84123,0.69772,0.76121,0.54762,1.03703,0.91385,1.0578,0.000677643,0.000677643,0.000677643
14,175.383,1.2782,1.07066,1.11268,0.81705,0.74532,0.7744,0.5556,1.0243,0.83822,1.05709,0.00067003,0.00067003,0.00067003
15,187.88,1.26568,1.0123,1.10841,0.77158,0.73447,0.78573,0.55258,1.04608,0.88107,1.06147,0.000662417,0.000662417,0.000662417
16,199.921,1.25427,1.00714,1.10657,0.80111,0.75388,0.77625,0.55784,1.07693,0.87325,1.10683,0.000654804,0.000654804,0.000654804
17,212.371,1.29588,1.0155,1.11988,0.81608,0.75088,0.81615,0.58751,1.0476,0.79563,1.06877,0.00064719,0.00064719,0.00064719
18,224.656,1.24427,0.98435,1.09059,0.77507,0.75821,0.80711,0.57913,1.08758,0.86477,1.07668,0.000639577,0.000639577,0.000639577
19,236.268,1.21462,0.94923,1.08041,0.78839,0.74339,0.8055,0.56615,1.03899,0.81725,1.06941,0.000631964,0.000631964,0.000631964
20,248.121,1.24293,0.92871,1.08516,0.82351,0.73169,0.81567,0.57505,1.0771,0.82162,1.07772,0.000624351,0.000624351,0.000624351
21,260.266,1.2197,0.9233,1.0796,0.81178,0.80536,0.82947,0.58927,1.03776,0.77336,1.0531,0.000616738,0.000616738,0.000616738
22,272.613,1.228,0.9125,1.07643,0.83661,0.75783,0.82638,0.60101,1.03602,0.73692,1.062,0.000609125,0.000609125,0.000609125
23,284.806,1.20686,0.89953,1.07214,0.82174,0.73305,0.80727,0.59386,1.01316,0.75518,1.04888,0.000601512,0.000601512,0.000601512
24,297.075,1.1926,0.89242,1.07231,0.79291,0.76315,0.78389,0.54996,1.07569,0.78384,1.10301,0.000593899,0.000593899,0.000593899
25,309.427,1.14975,0.88318,1.05462,0.80823,0.76172,0.81639,0.57565,1.05844,0.76122,1.05507,0.000586286,0.000586286,0.000586286
26,321.836,1.18112,0.86442,1.07596,0.81244,0.71921,0.80529,0.57287,1.03953,0.79469,1.04852,0.000578672,0.000578672,0.000578672
27,334.033,1.19662,0.84552,1.07334,0.84291,0.73118,0.80147,0.56576,1.05576,0.76807,1.07305,0.000571059,0.000571059,0.000571059
28,346.39,1.17623,0.83234,1.06579,0.82724,0.75323,0.81352,0.59556,1.03125,0.75853,1.06031,0.000563446,0.000563446,0.000563446
29,358.854,1.18284,0.84722,1.07865,0.85381,0.7594,0.82374,0.59387,1.07171,0.73943,1.06189,0.000555833,0.000555833,0.000555833
30,371.357,1.17124,0.83082,1.0616,0.85559,0.75608,0.821,0.58912,1.05335,0.75352,1.07031,0.00054822,0.00054822,0.00054822
31,383.425,1.14927,0.8169,1.05296,0.80495,0.77195,0.82061,0.60269,1.04619,0.69532,1.05866,0.000540607,0.000540607,0.000540607
32,395.799,1.15032,0.79688,1.04747,0.81883,0.78007,0.83814,0.60849,1.02778,0.7085,1.04927,0.000532994,0.000532994,0.000532994
33,408.024,1.15748,0.79966,1.064,0.82925,0.76581,0.82496,0.59138,1.05163,0.70389,1.0521,0.000525381,0.000525381,0.000525381
34,420.434,1.14473,0.7922,1.04305,0.8047,0.7328,0.82088,0.60354,0.99738,0.73199,1.05553,0.000517768,0.000517768,0.000517768
35,432.819,1.1193,0.78968,1.05218,0.86412,0.76283,0.81401,0.58863,1.0124,0.73102,1.04932,0.000510155,0.000510155,0.000510155
36,444.618,1.11605,0.76134,1.03272,0.80199,0.7594,0.83003,0.59841,1.02517,0.70222,1.05139,0.000502541,0.000502541,0.000502541
37,456.877,1.11076,0.75649,1.04012,0.86009,0.73885,0.83221,0.60601,1.00036,0.66697,1.06345,0.000494928,0.000494928,0.000494928
38,469.097,1.13449,0.77291,1.04942,0.8865,0.75619,0.84636,0.6116,1.00061,0.66617,1.03944,0.000487315,0.000487315,0.000487315
39,481.429,1.08643,0.75679,1.03906,0.83846,0.74115,0.82468,0.61169,0.99396,0.67148,1.04179,0.000479702,0.000479702,0.000479702
40,493.631,1.1089,0.73156,1.04388,0.88374,0.76207,0.82688,0.60156,0.99479,0.66816,1.04574,0.000472089,0.000472089,0.000472089
41,505.816,1.06363,0.7356,1.02679,0.85126,0.79435,0.84516,0.61628,1.00339,0.66582,1.03844,0.000464476,0.000464476,0.000464476
42,518.42,1.09007,0.72103,1.02674,0.87276,0.76863,0.8211,0.59924,0.98651,0.67978,1.03353,0.000456863,0.000456863,0.000456863
43,530.87,1.10826,0.73704,1.03444,0.76858,0.81314,0.81812,0.60154,1.00884,0.72805,1.05494,0.00044925,0.00044925,0.00044925
44,543.371,1.12478,0.73237,1.03288,0.84258,0.81958,0.84278,0.61745,1.0055,0.65028,1.0675,0.000441637,0.000441637,0.000441637
45,555.764,1.08985,0.71921,1.0358,0.82954,0.79069,0.84436,0.6133,0.99072,0.66056,1.03852,0.000434024,0.000434024,0.000434024
46,568.04,1.04903,0.70858,1.01705,0.82555,0.7924,0.85486,0.62058,0.98427,0.6624,1.03565,0.000426411,0.000426411,0.000426411
47,580.381,1.05288,0.69707,1.01049,0.85865,0.76176,0.83881,0.6008,1.02443,0.66873,1.05415,0.000418797,0.000418797,0.000418797
48,592.668,1.08802,0.7042,1.03299,0.87225,0.79355,0.85151,0.62408,0.99552,0.65152,1.03214,0.000411184,0.000411184,0.000411184
49,605.157,1.0682,0.69411,1.01712,0.85265,0.7543,0.84024,0.62292,0.97942,0.68329,1.02782,0.000403571,0.000403571,0.000403571
50,617.595,1.04828,0.67897,1.01211,0.82991,0.75766,0.84639,0.60909,1.03169,0.69232,1.07861,0.000395958,0.000395958,0.000395958
51,630.084,1.04314,0.685,1.01501,0.87016,0.7644,0.85568,0.62202,1.01373,0.64707,1.07396,0.000388345,0.000388345,0.000388345
52,642.382,1.05898,0.67663,1.01795,0.87922,0.74742,0.83671,0.61787,0.99458,0.66814,1.03298,0.000380732,0.000380732,0.000380732
53,654.527,1.05322,0.68328,1.01014,0.85677,0.75976,0.83035,0.61651,0.97373,0.65783,1.02953,0.000373119,0.000373119,0.000373119
54,666.565,1.07461,0.66998,1.01113,0.86708,0.7729,0.85478,0.63311,1.00412,0.65068,1.03891,0.000365506,0.000365506,0.000365506
55,678.075,1.06469,0.67039,1.01193,0.84184,0.7889,0.85917,0.64086,0.97198,0.62084,1.02453,0.000357893,0.000357893,0.000357893
56,690.376,0.99867,0.63763,0.99778,0.85122,0.79494,0.84896,0.6244,0.98379,0.63166,1.02828,0.00035028,0.00035028,0.00035028
57,702.646,1.01298,0.65059,0.99893,0.90494,0.77578,0.8487,0.62017,0.98062,0.65745,1.03925,0.000342666,0.000342666,0.000342666
58,714.876,1.00924,0.64659,0.99658,0.86625,0.77874,0.84481,0.61816,0.99579,0.6362,1.04174,0.000335053,0.000335053,0.000335053
59,727.16,1.01591,0.63688,0.99898,0.8423,0.81884,0.85922,0.63754,0.97396,0.61704,1.02863,0.00032744,0.00032744,0.00032744
60,739.418,1.02894,0.63397,1.01306,0.83082,0.78493,0.84668,0.61933,0.97871,0.63908,1.02991,0.000319827,0.000319827,0.000319827
61,751.911,0.99095,0.62463,0.98107,0.87416,0.75838,0.82719,0.61559,0.98891,0.63943,1.03144,0.000312214,0.000312214,0.000312214
62,764.087,0.98974,0.63355,0.99922,0.85012,0.76307,0.84182,0.62068,0.99345,0.64157,1.0451,0.000304601,0.000304601,0.000304601
63,776.326,0.99408,0.62706,0.99708,0.80923,0.82503,0.8441,0.61855,0.99971,0.64697,1.06551,0.000296988,0.000296988,0.000296988
64,788.763,1.00077,0.62242,0.99884,0.8455,0.80254,0.83314,0.60913,1.01025,0.64481,1.05996,0.000289375,0.000289375,0.000289375
65,800.94,0.99369,0.62769,0.9983,0.87506,0.78794,0.84672,0.62419,0.99509,0.61925,1.05396,0.000281762,0.000281762,0.000281762
66,813.376,1.00143,0.6197,0.99506,0.88457,0.78508,0.85231,0.63061,0.98326,0.626,1.05768,0.000274148,0.000274148,0.000274148
67,825.739,0.96244,0.60727,0.97955,0.85282,0.79432,0.8378,0.61657,0.97984,0.62679,1.05552,0.000266535,0.000266535,0.000266535
68,837.941,0.96185,0.60578,0.98173,0.8349,0.81275,0.84959,0.61859,1.00236,0.62062,1.03604,0.000258922,0.000258922,0.000258922
69,849.906,0.96398,0.59191,0.97852,0.85455,0.78542,0.84923,0.62705,0.98613,0.6163,1.03217,0.000251309,0.000251309,0.000251309
70,861.616,0.94849,0.59693,0.97219,0.8609,0.78424,0.83821,0.61221,0.97807,0.6224,1.02564,0.000243696,0.000243696,0.000243696
71,873.586,0.97654,0.60055,0.97819,0.84599,0.80545,0.83816,0.61193,1.001,0.61732,1.05628,0.000236083,0.000236083,0.000236083
72,885.833,0.94978,0.59251,0.97498,0.84908,0.77877,0.84912,0.62671,0.99505,0.62938,1.05292,0.00022847,0.00022847,0.00022847
73,897.941,0.96957,0.58908,0.97801,0.88927,0.76104,0.85547,0.64587,0.97854,0.62646,1.04395,0.000220857,0.000220857,0.000220857
74,910.21,0.95708,0.58871,0.9799,0.87719,0.77119,0.86362,0.6485,0.97322,0.60364,1.03772,0.000213244,0.000213244,0.000213244
75,922.312,0.93252,0.57709,0.96842,0.86147,0.7882,0.86173,0.64162,0.9758,0.60569,1.03232,0.000205631,0.000205631,0.000205631
76,934.677,0.93725,0.57611,0.96875,0.82974,0.81094,0.8554,0.63786,0.97817,0.59524,1.02958,0.000198018,0.000198018,0.000198018
77,947.009,0.96312,0.58964,0.97866,0.85195,0.78175,0.84673,0.62458,0.97563,0.60674,1.03244,0.000190404,0.000190404,0.000190404
78,959.243,0.9408,0.58258,0.97654,0.89327,0.77045,0.84878,0.63418,0.97107,0.61983,1.04075,0.000182791,0.000182791,0.000182791
79,971.485,0.92042,0.57872,0.97244,0.87619,0.77613,0.85485,0.64054,0.97606,0.63177,1.0443,0.000175178,0.000175178,0.000175178
80,983.58,0.89829,0.55799,0.95581,0.88483,0.76055,0.86037,0.64272,0.97145,0.60596,1.03054,0.000167565,0.000167565,0.000167565
81,995.736,0.88775,0.55104,0.95329,0.87821,0.80468,0.86705,0.64625,0.96343,0.5871,1.0263,0.000159952,0.000159952,0.000159952
82,1008.09,0.90952,0.56078,0.95825,0.88592,0.80528,0.87512,0.65313,0.95559,0.59198,1.0193,0.000152339,0.000152339,0.000152339
83,1020.46,0.93163,0.57602,0.98188,0.83579,0.84335,0.86979,0.64643,0.97383,0.59213,1.03013,0.000144726,0.000144726,0.000144726
84,1032.72,0.93556,0.56317,0.96805,0.8784,0.78591,0.87358,0.65286,0.95842,0.59757,1.01677,0.000137113,0.000137113,0.000137113
85,1044.32,0.89784,0.55474,0.95063,0.81645,0.82983,0.86481,0.64222,0.96725,0.60196,1.02096,0.0001295,0.0001295,0.0001295
86,1055.93,0.92176,0.55583,0.95733,0.86037,0.82043,0.86979,0.64971,0.96985,0.59109,1.02171,0.000121887,0.000121887,0.000121887
87,1067.98,0.884,0.54746,0.94901,0.82008,0.85832,0.87622,0.65714,0.96886,0.58519,1.02408,0.000114273,0.000114273,0.000114273
88,1080.42,0.88194,0.54396,0.9529,0.82947,0.85483,0.88036,0.65901,0.96035,0.5914,1.02308,0.00010666,0.00010666,0.00010666
89,1092.58,0.9081,0.55002,0.95897,0.84667,0.82066,0.86533,0.65028,0.97099,0.59787,1.02828,9.90472e-05,9.90472e-05,9.90472e-05
90,1104.82,0.89655,0.54594,0.95717,0.85465,0.81294,0.86161,0.64607,0.96866,0.60805,1.02788,9.14341e-05,9.14341e-05,9.14341e-05
