epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9687,1.50568,3.32593,1.19687,0.00926,0.77223,0.38924,0.28319,1.06169,3.4159,1.02808,0.000248794,0.000248794,0.000248794
2,30.1229,1.53068,1.93551,1.20134,0.78749,0.32367,0.5591,0.37617,1.13645,2.81737,1.09929,0.000502627,0.000502627,0.000502627
3,43.1585,1.51163,1.61033,1.19095,0.57761,0.55936,0.62455,0.40957,1.26295,1.71949,1.16199,0.000753922,0.000753922,0.000753922
4,56.0895,1.48083,1.45774,1.1753,0.53544,0.62651,0.62718,0.40051,1.18434,1.5599,1.15335,0.00075758,0.00075758,0.00075758
5,68.9326,1.43167,1.42643,1.18405,0.75671,0.56305,0.61772,0.39978,1.20821,1.27002,1.20372,0.000753774,0.000753774,0.000753774
6,81.729,1.42933,1.38022,1.15806,0.67066,0.616,0.67001,0.45327,1.14601,1.13829,1.11601,0.000749967,0.000749967,0.000749967
7,93.9352,1.41755,1.30521,1.15908,0.71279,0.63069,0.70734,0.47446,1.10812,1.06747,1.12918,0.000746161,0.000746161,0.000746161
8,107.359,1.38399,1.30549,1.16511,0.66348,0.68232,0.70737,0.46572,1.11002,1.02272,1.15221,0.000742354,0.000742354,0.000742354
9,119.613,1.411,1.20466,1.15094,0.68714,0.70205,0.72102,0.49296,1.08385,0.98408,1.15506,0.000738548,0.000738548,0.000738548
10,132.353,1.38074,1.1776,1.15005,0.77713,0.66588,0.75014,0.52626,1.12152,1.03889,1.11313,0.000734741,0.000734741,0.000734741
11,144.871,1.35435,1.16162,1.13356,0.71181,0.7088,0.74279,0.50098,1.10416,0.99057,1.1025,0.000730935,0.000730935,0.000730935
12,157.546,1.3723,1.15591,1.14387,0.67941,0.69454,0.74366,0.50654,1.08841,0.93138,1.08574,0.000727128,0.000727128,0.000727128
